,APPLICATION NO,GENDER,UACE YEAR,CODE,DISTRICT,COURSE CODE,COURSE NAME,TOTAL WEIGHT,WEIGHT RANGE,SCHOOL,REGION
0,23APF412304454141015,M,2022,42.0,MUKONO,ACC,BSC. Accounting (EVE),42.2,Very Good,"ST.JOSEPH'S S S, NAGGALAMA",Central
1,23APF345674424112360,M,2022,40.0,MPIGI,ACC,BSC. Accounting (EVE),41.1,Very Good,KINAAWA HIGH SCHOOL,Central
2,23APF1361730063122187,F,2022,21.0,KASESE,ACC,BSC. Accounting (EVE),40.6,Very Good,KAWEMPE MUSLIM SS,Western
3,23APF519647933132646,F,2022,33.0,MASAKA,ACC,BSC. Accounting (EVE),38.8,Good,OURLADY OF AFRICA SS NAMILYANGO,Central
4,23APF1481620160129238,F,2022,65.0,IBANDA,ACC,BSC. Accounting (EVE),38.4,Good,IMMACULATE HEART GIRLS SCHOOL,Western
5,23APF1501202078128326,M,2018,55.0,WAKISO,ACC,BSC. Accounting (EVE),38.4,Good,MOTHERLAND ACADEMY,Central
6,23APF1139056282132364,F,2022,25.0,KIBOGA,ACC,BSC. Accounting (EVE),38.2,Good,ST.ELIZABETH SEC.SCH. NKOOWE,Central
7,23APF101396019107326,M,2022,75.0,MITYANA,ACC,BSC. Accounting (EVE),38.1,Good,"SEETA H/S GREEN CAMPUS, MUKONO",Central
8,23APF515017899120808,M,2011,16.0,KAMPALA,ACC,BSC. Accounting (EVE),37.9,Good,NAALYA SSS,Central
9,23APF1672224247102423,M,2022,50.0,RUKUNGIRI,ACC,BSC. Accounting (EVE),37.9,Good,ST MARY'S SS  KITENDE,Western
10,23APF202185286140690,F,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),37.8,Good,MIDLAND HIGH SCHOOL,Central
11,23APF231194390150185,M,2009,17.0,KAMULI,ACC,BSC. Accounting (EVE),37.0,Good,BUSOGA HIGH SCHOOL,Eastern
12,23APF174935849136324,F,2017,55.0,WAKISO,ACC,BSC. Accounting (EVE),36.5,Good,"ST KIZITO HIGH SCH., NAMUGONGO",Central
13,23APF324272143128932,M,2022,91.0,GOMBA,ACC,BSC. Accounting (EVE),35.8,Good,MENGO SECONDARY SCHOOL ANNEX,Central
14,23APF231927019128941,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),35.8,Good,,Central
15,23APF1362423415106885,F,2022,13.0,KABAROLE,ACC,BSC. Accounting (EVE),35.5,Good,KAWEMPE MUSLIM SS,Western
16,23APF1368966146127414,F,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),35.3,Good,OURLADY OF AFRICA SS NAMILYANGO,Central
17,23APF1031507983139846,F,2022,49.0,RAKAI,ACC,BSC. Accounting (EVE),34.6,Good,,Central
18,23APF980625096133316,F,2007,10.0,IGANGA,ACC,BSC. Accounting (EVE),34.6,Good,BULO PARENTS S S,Eastern
19,23APF154566486115108,F,2020,101.0,LWENGO,ACC,BSC. Accounting (EVE),34.4,Good,KOLOLO SECONDARY SCHOOL,Central
20,23APF283201719136962,F,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),34.3,Good,GAYAZA CAMBRIDGE COLLEGE,Central
21,23APF957749380107698,M,2022,9.0,HOIMA,ACC,BSC. Accounting (EVE),34.1,Good,RINES SECONDARY SCHOOL,Western
22,23APF1091499022125514,F,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),33.8,Good,"BUGEMA ADVENTIST COLLEGE, K'LA",Central
23,23APF1158623449102037,M,2022,102.0,KAGADI,ACC,BSC. Accounting (EVE),33.5,Good,MANDELA SS  HOIMA,
24,23APF1057280688118519,M,2022,11.0,JINJA,ACC,BSC. Accounting (EVE),33.3,Good,"KIIRA COLLEGE, BUTIKI",Eastern
25,23APF104197063663745,M,2013,30.0,KYENJOJO,ACC,BSC. Accounting (EVE),33.0,Good,MENGO SECONDARY SCHOOL ANNEX,
26,23APF16043054134531,M,2022,118.0,BUNYANGABU,ACC,BSC. Accounting (EVE),32.8,Good,ST. JULIAN HIGH SCHOOL,
