U0001,AGA KHAN HIGH SCHOOL
U0002,IBANDA SECONDARY SCHOOL
U0004,"KING'S COLLEGE, BUDO"
U0005,WANYANGE GIRLS  SCHOOL
U0006,KITGUM HIGH SCHOOL
U0007,"ST. EDWARD'S SCHOOL, BUKUMI"
U0008,ST.KATHERINE SEC. SCHOOL
U0009,BWERANYANGI GIRLS' SCHOOL
U0010,JINJA COLLEGE
U0012,COMBONI COLLEGE LIRA
U0013,GAYAZA HIGH SCHOOL
U0014,SACRED HEART SEC. SCHOOL
U0016,DUHAGA SECONDARY SCHOOL
U0017,IGANGA SECONDARY SCHOOL
U0018,JINJA  SECONDARY SCHOOL
U0019,KIGEZI HIGH SCHOOL
U0020,"BUKEDI COLLEGE, KACHONGA"
U0021,KAKO SECONDARY SCHOOL
U0022,CHRIST THE KING SEC. SCHOOL
U0023,OLD KAMPALA SECONDARY SCHOOL
U0024,SOROTI SECONDARY SCHOOL
U0025,KIBULI SECONDARY SCHOOL
U0026,"KIGEZI COLLEGE, BUTOBERE"
U0027,"KIIRA COLLEGE, BUTIKI"
U0028,MAKOBORE HIGH SCHOOL
U0029,"M.M COLLEGE, WAIRAKA"
U0030,KITANTE HILL SCHOOL
U0031,"ST LEO'S COLLEGE, KYEGOBE"
U0032,"MUNTUYERA HIGH SCHOOL, KITUNGA"
U0033,"ST MARY'S COLLEGE, KISUBI"
U0034,"ST HENRY'S COLLEGE, KITOVU"
U0035,"ST.CHARLES LWANGA S.S., KOBOKO"
U0036,KOLOLO SECONDARY SCHOOL
U0037,KYEBAMBE GIRLS' SEC. SCHOOL
U0038,"TESO COLLEGE, ALOET"
U0040,"ST. JOSEPH'S COLLEGE, LAYIBI"
U0041,LUBIRI SECONDARY SCHOOL
U0042,"ST.PETER'S COLLEGE, TORORO"
U0043,MAKERERE COLLEGE SCHOOL
U0045,MANJASI HIGH SCHOOL
U0046,MARYHILL HIGH SCHOOL
U0047,MASABA SECONDARY SCHOOL
U0048,MASAKA SECONDARY SCHOOL
U0049,KABALEGA SECONDARY SCHOOL
U0050,TORORO GIRLS' SCHOOL
U0051,MBALE SECONDARY SCHOOL
U0052,MBARARA HIGH SCHOOL
U0053,MENGO SECONDARY SCHOOL
U0054,MOROTO HIGH SCHOOL
U0055,"BISHOP'S SEC. SCHOOL, MUKONO"
U0056,"P.M.M GIRLS' SCHOOL, JINJA"
U0057,MUTOLERE SECONDARY SCHOOL
U0058,MVARA SECONDARY SCHOOL
U0059,"BUSOGA COLLEGE, MWIRI"
U0060,"TRINITY COLLEGE, NABBINGO"
U0061,NABISUNSA GIRLS' SCHOOL
U0062,"NABUMALI HIGH SCHOOL, MBALE"
U0063,"MT.ST.MARY'S, NAMAGUNGA"
U0064,NAMILYANGO COLLEGE
U0065,NDEJJE SECONDARY SCHOOL
U0066,NGORA HIGH SCHOOL
U0067,NKOMA SECONDARY SCHOOL
U0068,NTARE SCHOOL
U0069,KYAMBOGO COLLEGE SCHOOL
U0070,NYAKASURA SCHOOL
U0072,"DR. OBOTE COLLEGE, BOROBORO"
U0073,"ST.JOSEPH'S COLLEGE, OMBACI"
U0074,SEBEI SECONDARY SCHOOL
U0076,MITYANA SECONDARY SCHOOL
U0077,GOMBE SECONDARY SCHOOL
U0078,IGANGA HIGH SCHOOL
U0079,"ST.ELIZABETH'S GIRLS, KIDETOK"
U0080,"ST.MARY'S COLLEGE, RUSHOROZA"
U0081,BOMBO SECONDARY SCHOOL
U0082,ST.KAGGWA BUSHENYI HIGH SCH.
U0083,IMMACULATE HEART GIRLS SCHOOL
U0084,MPANGA SECONDARY SCHOOL
U0086,BUSOGA HIGH SCHOOL
U0087,KOLOLO HIGH SCHOOL
U0090,ARUA PUBLIC SCHOOL
U0091,BUBULO GIRLS' HIGH SCHOOL
U0093,ENTEBBE  SECONDARY SCHOOL
U0094,LIRA TOWN COLLEGE
U0096,"ROCK HIGH SCHOOL, TORORO"
U0097,ST.KALEMBA SECONDARY SCHOOL
U0099,KANGOLE GIRLS' SCHOOL
U0100,KOTIDO SECONDARY SCHOOL
U0102,MASINDI SECONDARY SCHOOL
U0104,CITY HIGH SCHOOL
U0105,BUGWERE HIGH SCHOOL
U0106,NAKASERO SECONDARY SCHOOL
U0107,"MACKAY MEMORIAL SCHOOL, NATETE"
U0108,KASAWO SECONDARY SCHOOL
U0109,WAMPEWO NTAKE SEC. SCHOOL
U0110,BUKOYO SECONDARY SCHOOL
U0113,KITARA SECONDARY SCHOOL
U0114,BUSIA SECONDARY SCHOOL
U0118,MBALE HIGH SCHOOL
U0119,KABERAMAIDO SECONDARY SCHOOL
U0120,KIHANGA SECONDARY SCHOOL
U0121,KASENGEJJE SECONDARY SCHOOL
U0122,"ST.JOHN BOSCO, DOKOLO SEC. SC."
U0124,BUDINI SECONDARY SCHOOL
U0125,PALLISA SECONDARY SCHOOL
U0128,BUKOMERO SECONDARY SCHOOL
U0132,KISOKO HIGH SCHOOL
U0133,DABANI GIRLS' SCHOOL
U0134,SESEME GIRLS' SCHOOL
U0136,URINGI SECONDARY SCHOOL
U0138,KITAGATA SECONDARY SCHOOL
U0139,MASHERUKA SECONDARY SCHOOL
U0140,KYEIZOBA  GIRLS' SEC. SCHOOL
U0146,ANGAL SECONDARY SCHOOL
U0148,KITAGWENDA SECONDARY SCHOOL
U0149,KIBIBI SECONDARY SCHOOL
U0151,"WIGGINS SECONDARY SCHOOL, KUMI"
U0152,GAMATUI GIRLS' SCHOOL
U0154,HUMURA SECONDARY SCHOOL
U0155,ST.GONZAGA SECONDARY SCHOOL
U0160,NGANWA HIGH SCHOOL
U0161,NAKASONGOLA SECONDARY SCHOOL
U0162,"LACOR SEMINARY, GULU"
U0163,"ST. CH. LWANGA GIRLS', KALUNGU"
U0164,"ST.JOHN BOSCO SEMINARY, HOIMA"
U0165,KITEREDDE SECONDARY SCHOOL
U0166,ST HENRY'S GIRLS SS BUYEGE
U0168,"ST.PAUL'S COLLEGE, MBALE"
U0169,"ST.ANDREA KAHWA'S COL., HOIMA"
U0171,"LIGHT COLLEGE, KATIKAMU"
U0173,"KITABI SEMINARY, BUSHENYI"
U0174,MEHTA SECONDARY SCHOOL
U0176,"BUKALASA SEMINARY, MASAKA"
U0178,"CALTEC ACADEMY, MAKERERE"
U0180,"ST.JOSEPH'S SEMINARY, ABOKE"
U0181,"ST.CHARLES LWANGA S.S., KASASA"
U0182,"ST.KIZITO HIGH SCHOOL, BETHANY"
U0183,UGANDA MARTYRS'HIGH SC. RUBAGA
U0184,ST.BALIKUDDEMBE SS MITALAMARIA
U0185,"KATIKAMU SEC. SCH., WOBULENZI"
U0186,"ST.PAUL'S SEMINARY, KABALE"
U0187,"ST.THEREZA'S GIRLS' SS,BWANDA"
U0188,KAMPALA SECONDARY SCHOOL
U0189,KAKIRA  SECONDARY SCHOOL
U0190,KISUBI SEMINARY
U0191,ST.MARIA GORETTI GIRLS'
U0192,"ST.JOSEPH'S GIRLS, NSAMBYA"
U0193,"ST.JAMES SEC. SCH., JINJA"
U0194,"ST JOSEPH'S SEMINARY, NYENGA"
U0195,"ST.MARY'S GIRLS' COLLEGE,ABOKE"
U0197,RUBAGA GIRLS' SCHOOL
U0198,"STELLA MARIS COLLEGE, NSUBE"
U0199,AHMADIYYA MUSLIM HIGH SCHOOL
U0200,"BUGEMA ADVENTIST COLLEGE, K'LA"
U0202,BUSEMBATIA SECONDARY SCHOOL
U0206,NYENGA SECONDARY SCHOOL
U0210,"ST.ALOYSIUS SEC.SCH., BWANDA"
U0218,"ST.JOHN'S SS, NANDERE"
U0219,"PILKINGTON COLLEGE, MUGULUKA"
U0221,"MASUULITA SEC. SCH., KAKIRI"
U0229,HOIMA  HALL
U0232,MASAKA  HALL
U0238,"ST.THEREZA GIRLS' SS, MASINDI"
U0239,"KABUWOKO SEC. SCHOOL, KABONERA"
U0241,NAJJANANKUMBI YOUNG X-TIAN SS.
U0242,"BP. KIVENGERE GIRLS', MUYEBE"
U0245,OUR LADY OF GOOD COUNSEL
U0248,"BUKINDA SEMINARY, KABALE"
U0249,"ST.MARIA GORETTI S.S, KATENDE"
U0251,"ST VICTOR'S  SS, KITAASA"
U0252,"MARY REPARATRIX T.C., ENTEBBE"
U0253,"Y.Y.OKOT GIRLS' MEM., KITGUM"
U0255,"IKI-IKI SEC SCHOOL, PALLISA"
U0256,"KISIKI COLLEGE, NAMUTUMBA"
U0257,MBARARA SECONDARY SCHOOL
U0260,ADWARI SECONDARY SCHOOL
U0261,AWELO SECONDARY SCHOOL
U0262,MARACHA SECONDARY SCHOOL
U0264,RUKONI SECONDARY SCHOOL
U0265,KIBUBURA GIRLS' SEC. SCHOOL
U0268,KALIRO HIGH SCHOOL
U0269,"ST.MARY'S ASSUMPTA'S SS,PAKELE"
U0274,IKWERA GIRLS' SEC. SCHOOL
U0285,RUKORE HIGH SCHOOL
U0287,"HORNBY HIGH SCHOOL, KABALE"
U0288,METU SECONDARY SCHOOL
U0290,NAKATETE SECONDARY SCHOOL
U0296,KINONI GIRLS' SEC. SCHOOL
U0298,LUWERO  SECONDARY SCHOOL
U0299,LUTEETE SECONDARY SCHOOL
U0301,KYABENDA SECONDARY SCHOOL
U0309,KIBANDA SECONDARY SCHOOL
U0314,"ST.CHARLES SS, KASANGA"
U0317,"KAMONKOLI COLLEGE, PALLISA"
U0327,KILEMBE SECONDARY SCHOOL
U0333,RUHINDA SECONDARY SCHOOL
U0334,"UGANDA MARTYRS S.S., NAMUGONGO"
U0336,LUZIRA LAKESIDE COLLEGE
U0337,RUYONZA SECONDARY SCHOOL
U0339,KAZO SECONDARY SCHOOL
U0341,"ST.PAUL'S HIGH SCHOOL,RUSHOOKA"
U0342,RUBAARE SECONDARY SCHOOL
U0346,"ST.JOSEPH'S VOC. SCH., MBARARA"
U0352,ASINGE SECONDARY SCHOOL
